Taxa,P01,P02,P03,P04,P05,P06,P07,P08,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis,0,0,0,0,0,0,0,0,0.0594402,0,0,0,0.0713317,0,0,0.0063614,0,0,0,0,0.0393336,0,0,0.0649544,0.1364618,0,0.0016878,0.0035188,1.17E-05,0,0,0,3.44E-05,0,0,0,0.0184664,0,0.0074069
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,0,0,0.0129867,0.0374814,0,0,0,0,0.1009844,0,0,0,0,0,0.0274483,0,0,0,0,0,0,0,0,0.0716188,0,0,0,0,0,0,0,0,0.1088387,0,0,0,0.0593842,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii,0,0,0,0.0001082,0,0.0168389,0,0,0,0,0,0,0,0,0,0,0,0.0006642,0,0,0,0,0,0,0,0,2.76E-05,0.0005164,0,2.70E-06,0,0.0053071,0.0079527,0.0037188,0,0,0.0020519,0.0039015,0.0012773
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,0.0372295,0.0061556,0.0965346,0.0064638,0.0505088,3.53E-05,0.0822124,0.0415566,0.0369473,0,0.0001814,0.2521135,0.0347476,0.0272661,0.0029381,0.01575,0.1625023,0.001682,0.0226715,0.0105491,0.0002472,0.0199879,0.00336,0.046841,0.00025,0.1992113,0.2923528,0.2348069,0.0636186,0.0094932,0.0060659,0.0177767,0.0165135,0.0077437,0.0071958,0.0001233,0.0446901,0.0040762,0.0076327
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae,0.0217073,0.0535692,0,0,0,0,0,0,0,0,0,0,0,0,0.0019347,0,0.0046869,0,0,0,0.025771,0,0,0,0.0226631,0,0.0002803,0.0002377,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_1_1_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0411212,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_1_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011724,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_2_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063554,0,0,0,0,0,0,0,0
